bid,date,count,ctime,dtime,wing_raw,wing_mm,initials
1,22-Aug,34,8:24,3:46,3.5,,JKD
6,22-Aug,26,8:15,3:36,3.8,,LAA
10,22-Aug,5,8:21,3:42,4,,JKD
13,22-Aug,12,8:22,3:42,4.1,,LAA
17,22-Aug,28,8:41,3:51,4.3,,JKD
20,22-Aug,72,8:38,3:46,,,LAA
21,22-Aug,12,8:28,3:45,4.5,,JKD
23,22-Aug,0,8:51,3:56,4.8,,LAA
24,22-Aug,16,8:02,3:34,4.2,,JKD
27,22-Aug,45,8:09,3:38,4.1,,JKD
32,22-Aug,125,8:50,3:58,4.3,,JKD
35,22-Aug,0,8:18,3:40,4.3,,JKD
36,22-Aug,52,8:47,3:55,4.2,,JKD
37,22-Aug,5,8:34,3:49,4.2,,JKD
38,22-Aug,196,8:47,3:53,3.9,,LAA
40,22-Aug,40,8:13,3:36,3.3,,JKD
42,22-Aug,0,8:29,3:48,4.5,,LAA
43,22-Aug,0,8:04,3:38,4.2,,JKD
44,22-Aug,13,8:43,3:53,4.6,,JKD
53,23-Aug,0,7:48,4:09,4.4,,LAA
58,23-Aug,0,8:10,4:25,4.4,,LAA
67,23-Aug,95,7:53,4:11,4.6,,LAA
68,23-Aug,32,8:43,4:51,4.3,,LAA
70,23-Aug,0,7:44,4:05,4.3,,LAA
71,23-Aug,1,8:18,4:31,4.2,,LAA
73,23-Aug,90,8:08,4:23,4.6,,LAA
75,23-Aug,31,8:05,4:21,4.4,,LAA
77,23-Aug,4,8:21,4:33,4,,LAA
86,23-Aug,0,8:29,4:41,3.6,,LAA
87,23-Aug,0,8:39,4:49,4.8,,LAA
88,23-Aug,60,8:46,4:53,4,,LAA
90,23-Aug,0,8:37,4:47,4,,LAA
91,23-Aug,0,8:23,4:36,4.5,,LAA
94,23-Aug,3,8:16,4:29,4.6,,LAA
95,23-Aug,0,8:27,4:38,4.2,,LAA
96,23-Aug,0,8:12,4:27,4.5,,LAA
100,23-Aug,79,8:02,4:18,4.8,,LAA
107,23-Aug,0,7:58,4:16,4.3,,LAA
113,23-Aug,0,7:56,4:14,4.5,,LAA
114,23-Aug,4,8:35,4:45,4.4,,LAA
115,23-Aug,37,8:33,4:43,3.8,,LAA
116,24-Aug,3,8:01,4:01,4.6,,LAA
121,24-Aug,6,8:04,4:03,4.7,,LAA
122,24-Aug,0,8:06,4:06,4.7,,LAA
124,24-Aug,52,8:43,4:30,4.4,,LAA
126,24-Aug,0,7:59,3:58,4.3,,LAA
136,24-Aug,0,8:38,4:27,4.2,,LAA
139,24-Aug,89,8:22,4:09,4.3,,LAA
143,24-Aug,72,8:12,4:07,3.8,,LAA
146,24-Aug,2,8:36,4:25,4.5,,LAA
150,24-Aug,23,8:28,4:15,4.3,,LAA
154,24-Aug,0,8:31,4:17,4.5,,LAA
155,24-Aug,30,7:53,3:51,4.5,,LAA
156,24-Aug,0,7:49,3:49,4,,LAA
158,24-Aug,0,7:56,3:53,4.6,,LAA
161,24-Aug,0,8:24,4:11,,,LAA
162,24-Aug,0,7:57,3:55,4.4,,LAA
164,24-Aug,0,8:33,4:19,4.7,,LAA
165,24-Aug,0,8:25,4:13,4.5,,LAA
166,25-Aug,35,8:40,4:52,4.5,,LAA
170,25-Aug,0,8:45,4:56,4.4,,LAA
175,25-Aug,0,7:58,4:18,4.6,,LAA
176,25-Aug,0,7:51,4:11,4.7,,LAA
177,25-Aug,37,8:21,8:35,4.1,,LAA
179,25-Aug,0,8:03,4:23,4,,LAA
192,25-Aug,10,8:36,4:48,4.9,,LAA
193,25-Aug,0,8:07,4:29,4.6,,LAA
194,25-Aug,0,8:00,4:20,4.4,,LAA
198,25-Aug,1,7:49,4:09,3.9,,LAA
201,25-Aug,32,8:14,4:33,4.1,,LAA
203,25-Aug,0,8:05,4:25,4.8,,LAA
204,25-Aug,3,7:55,4:15,4.4,,LAA
206,25-Aug,8,8:30,4:43,4.1,,LAA
208,25-Aug,0,8:23,4:38,3.9,,LAA
209,25-Aug,0,8:38,4:51,4.4,,LAA
216,25-Aug,1,8:33,4:45,3.6,,LAA
223,25-Aug,97,8:28,4:40,4.5,,LAA
225,25-Aug,0,8:09,4:31,3.9,,LAA
226,25-Aug,0,7:53,4:12,4.1,,LAA
227,25-Aug,0,8:44,4:54,4.6,,LAA
237,26-Aug,58,6:38,2:27,4,,LAA
238,26-Aug,19,6:32,2:23,4.3,,LAA
239,26-Aug,49,6:23,2:17,4.1,,LAA
244,26-Aug,0,6:34,2:25,4.4,,LAA
245,26-Aug,1,6:43,2:31,4.6,,LAA
247,26-Aug,0,6:20,2:15,4.4,,LAA
248,26-Aug,0,6:45,2:34,4.4,,LAA
250,26-Aug,0,6:26,2:19,4.6,,LAA
253,26-Aug,0,6:40,2:29,4.4,,LAA
254,26-Aug,6,6:27,2:21,4.1,,LAA
261,26-Aug,0,6:47,2:36,4.3,,LAA
