bid,start,plant,seconds,frames,
1,control,control,1,10,
1,control,control,2,3,
1,control,control,1,17,
1,control,control,1,13,
1,control,control,1,0,
1,control,control,2,14,
1,control,control,1,21,
1,control,control,2,9,
1,control,control,1,8,
1,control,control,1,12,
1,control,control,1,16,
1,control,control,1,19,
1,control,control,1,23,
1,control,control,1,17,
1,control,control,4,9,
1,control,control,0,22,
1,control,control,2,23,
1,control,control,5,10,
1,control,control,1,7,
1,control,control,1,5,
1,control,control,1,20,
1,control,damage,2,14,
1,control,damage,1,4,
1,control,damage,3,4,
1,control,damage,5,16,
1,control,damage,1,24,
1,control,damage,1,15,
1,control,damage,0,20,
1,control,damage,2,5,
1,control,damage,2,13,
1,control,damage,4,14,
1,control,damage,3,15,
1,control,damage,3,1,
1,control,damage,3,8,
1,control,damage,2,22,
1,control,damage,6,1,
1,control,damage,2,16,
1,control,damage,3,23,
1,control,damage,1,17,
1,control,damage,0,18,
1,control,damage,3,8,
1,control,damage,1,9,
1,control,damage,11,5,
1,control,damage,0,20,
1,control,damage,6,9,
1,control,damage,7,11,
1,control,damage,4,19,
1,control,damage,3,8,
1,control,damage,0,20,
1,control,damage,5,23,
6,control,control,1,18,
6,control,control,7,18,
6,control,control,2,5,
6,control,control,1,21,
6,control,control,1,3,
6,control,control,1,23,
6,control,damage,2,16,
6,control,control,11,15,
6,control,control,10,3,
6,control,control,3,20,
6,control,damage,4,0,
6,control,damage,4,22,
6,control,damage,10,16,
6,control,damage,7,4,
6,control,damage,7,1,
6,control,damage,2,8,
6,control,control,2,7,
6,control,control,6,12,
6,control,damage,5,7,
6,control,control,3,0,
6,control,control,7,24,
6,control,damage,6,24,
6,control,control,5,2,
6,control,control,5,14,
6,control,control,4,21,
6,control,damage,2,16,
6,control,control,4,2,
6,control,control,1,13,
6,control,control,9,1,
6,control,control,3,1,
6,control,control,7,19,
6,control,control,9,3,
6,control,damage,6,16,
6,control,damage,3,12,
6,control,damage,1,21,
6,control,control,5,15,
10,herbivory,damage,7,6,
10,herbivory,damage,7,17,
10,herbivory,damage,0,24,
10,herbivory,damage,3,6,
10,herbivory,control,8,1,
10,herbivory,control,7,8,
10,herbivory,control,4,11,
10,herbivory,control,4,5,
10,herbivory,control,5,5,
10,herbivory,control,7,22,
10,herbivory,control,2,1,
10,herbivory,control,2,17,
10,herbivory,control,4,7,
10,herbivory,control,12,20,
10,herbivory,control,5,14,
10,herbivory,control,6,12,
10,herbivory,damage,9,8,
10,herbivory,damage,4,12,
10,herbivory,control,6,25,
10,herbivory,damage,5,10,
10,herbivory,damage,3,10,
10,herbivory,damage,3,22,
10,herbivory,damage,3,5,
10,herbivory,damage,7,15,
10,herbivory,damage,10,24,
10,herbivory,damage,2,2,
10,herbivory,damage,4,4,
10,herbivory,damage,8,22,
10,herbivory,damage,3,20,
10,herbivory,damage,5,10,
10,herbivory,damage,2,11,
10,herbivory,damage,6,8,
10,herbivory,damage,11,1,
13,control,control,0,19,
13,control,control,3,3,
13,control,control,2,24,
13,control,control,1,9,
13,control,control,5,5,
13,control,control,3,3,
13,control,control,4,6,
13,control,control,2,6,
13,control,damage,3,23,
13,control,damage,4,17,
13,control,damage,1,1,
13,control,damage,2,11,
13,control,damage,2,17,
13,control,damage,5,13,
13,control,damage,3,8,
13,control,damage,2,23,
13,control,damage,5,12,
13,control,damage,14,15,
13,control,damage,6,3,
13,control,damage,3,10,
13,control,damage,1,21,
13,control,control,4,20,
13,control,control,4,7,
13,control,control,2,3,
13,control,damage,2,22,
13,control,damage,2,13,
13,control,damage,5,18,
13,control,damage,5,5,
13,control,control,3,15,
13,control,damage,3,18,
13,control,control,3,6,
13,control,damage,2,3,
13,control,damage,3,4,
13,control,damage,3,23,
13,control,damage,4,8,
13,control,damage,1,7,
13,control,damage,1,0,
13,control,control,3,3,
13,control,control,6,10,
13,control,control,4,22,
13,control,control,1,15,
17,herbivory,control,2,20,
17,herbivory,control,2,6,
17,herbivory,control,3,4,
17,herbivory,damage,5,6,
17,herbivory,control,6,20,
17,herbivory,damage,8,3,
17,herbivory,damage,4,12,
17,herbivory,damage,2,5,
17,herbivory,damage,1,8,
17,herbivory,damage,3,7,
17,herbivory,damage,4,14,
17,herbivory,control,4,9,
